run,n_examples,next_day_nll_base,next_day_nll_adapted,next_day_delta,test_nll_base,test_nll_adapted,test_delta,retention_delta,adapter.lr,adapter.rank,adapter.replay_ratio
lr=5e-05_rank=8_replay_ratio=0.0,17,0.1794,0.1793,-0.0001,0.1656,0.1656,-0.0001,-0.0006,5e-05,8,0.0
lr=5e-05_rank=8_replay_ratio=0.2,21,0.1794,0.1795,0.0001,0.1656,0.1666,0.001,-0.0036,5e-05,8,0.2
lr=5e-05_rank=8_replay_ratio=0.4,28,0.1794,0.18,0.0005,0.1656,0.1657,0.0001,-0.006,5e-05,8,0.4
lr=5e-05_rank=16_replay_ratio=0.0,17,0.1794,0.1792,-0.0002,0.1656,0.1662,0.0005,-0.0013,5e-05,16,0.0
lr=5e-05_rank=16_replay_ratio=0.2,21,0.1794,0.1795,0.0001,0.1656,0.166,0.0003,-0.0039,5e-05,16,0.2
lr=5e-05_rank=16_replay_ratio=0.4,28,0.1794,0.1789,-0.0005,0.1656,0.1651,-0.0006,-0.0046,5e-05,16,0.4
lr=5e-05_rank=32_replay_ratio=0.0,17,0.1794,0.1799,0.0005,0.1656,0.1668,0.0012,-0.0063,5e-05,32,0.0
lr=5e-05_rank=32_replay_ratio=0.2,21,0.1794,0.18,0.0006,0.1656,0.1665,0.0009,-0.0039,5e-05,32,0.2
lr=5e-05_rank=32_replay_ratio=0.4,28,0.1794,0.1799,0.0005,0.1656,0.1661,0.0005,-0.0064,5e-05,32,0.4
lr=0.0001_rank=8_replay_ratio=0.0,17,0.1794,0.1809,0.0015,0.1656,0.1675,0.0019,-0.0023,0.0001,8,0.0
lr=0.0001_rank=8_replay_ratio=0.2,21,0.1794,0.1818,0.0024,0.1656,0.1672,0.0015,-0.0046,0.0001,8,0.2
lr=0.0001_rank=8_replay_ratio=0.4,28,0.1794,0.1825,0.0031,0.1656,0.1683,0.0027,-0.0078,0.0001,8,0.4
lr=0.0001_rank=16_replay_ratio=0.0,17,0.1794,0.1805,0.0011,0.1656,0.1673,0.0017,-0.0023,0.0001,16,0.0
lr=0.0001_rank=16_replay_ratio=0.2,21,0.1794,0.1812,0.0018,0.1656,0.1676,0.002,-0.006,0.0001,16,0.2
lr=0.0001_rank=16_replay_ratio=0.4,28,0.1794,0.1791,-0.0003,0.1656,0.1663,0.0007,-0.0059,0.0001,16,0.4
lr=0.0001_rank=32_replay_ratio=0.0,17,0.1794,0.1794,-0.0,0.1656,0.1672,0.0016,-0.003,0.0001,32,0.0
lr=0.0001_rank=32_replay_ratio=0.2,21,0.1794,0.1814,0.002,0.1656,0.1672,0.0015,-0.0047,0.0001,32,0.2
lr=0.0001_rank=32_replay_ratio=0.4,28,0.1794,0.1819,0.0025,0.1656,0.1688,0.0032,-0.0057,0.0001,32,0.4
lr=0.0002_rank=8_replay_ratio=0.0,17,0.1794,0.1881,0.0087,0.1656,0.1731,0.0074,-0.0049,0.0002,8,0.0
lr=0.0002_rank=8_replay_ratio=0.2,21,0.1794,0.1915,0.0121,0.1656,0.1768,0.0112,-0.0095,0.0002,8,0.2
lr=0.0002_rank=8_replay_ratio=0.4,28,0.1794,0.1944,0.015,0.1656,0.1796,0.0139,-0.0122,0.0002,8,0.4
lr=0.0002_rank=16_replay_ratio=0.0,17,0.1794,0.1876,0.0082,0.1656,0.1737,0.0081,-0.0038,0.0002,16,0.0
lr=0.0002_rank=16_replay_ratio=0.2,21,0.1794,0.1915,0.0121,0.1656,0.1765,0.0108,-0.0119,0.0002,16,0.2
lr=0.0002_rank=16_replay_ratio=0.4,28,0.1794,0.1857,0.0063,0.1656,0.1723,0.0067,-0.0126,0.0002,16,0.4
lr=0.0002_rank=32_replay_ratio=0.0,17,0.1794,0.1864,0.007,0.1656,0.1727,0.007,-0.0055,0.0002,32,0.0
lr=0.0002_rank=32_replay_ratio=0.2,21,0.1794,0.1908,0.0114,0.1656,0.176,0.0103,-0.0078,0.0002,32,0.2
lr=0.0002_rank=32_replay_ratio=0.4,28,0.1794,0.194,0.0146,0.1656,0.179,0.0133,-0.0162,0.0002,32,0.4
lr=0.0005_rank=8_replay_ratio=0.0,17,0.1794,0.2169,0.0375,0.1656,0.2001,0.0345,-0.0074,0.0005,8,0.0
lr=0.0005_rank=8_replay_ratio=0.2,21,0.1794,0.2284,0.049,0.1656,0.2111,0.0455,-0.0141,0.0005,8,0.2
lr=0.0005_rank=8_replay_ratio=0.4,28,0.1794,0.2366,0.0572,0.1656,0.221,0.0553,-0.0321,0.0005,8,0.4
lr=0.0005_rank=16_replay_ratio=0.0,17,0.1794,0.222,0.0425,0.1656,0.2038,0.0382,-0.0076,0.0005,16,0.0
lr=0.0005_rank=16_replay_ratio=0.2,21,0.1794,0.2354,0.056,0.1656,0.2154,0.0497,-0.0232,0.0005,16,0.2
lr=0.0005_rank=16_replay_ratio=0.4,28,0.1794,0.2251,0.0457,0.1656,0.2056,0.04,-0.0247,0.0005,16,0.4
lr=0.0005_rank=32_replay_ratio=0.0,17,0.1794,0.2338,0.0544,0.1656,0.2155,0.0498,-0.0085,0.0005,32,0.0
lr=0.0005_rank=32_replay_ratio=0.2,21,0.1794,0.2402,0.0607,0.1656,0.222,0.0563,-0.0177,0.0005,32,0.2
lr=0.0005_rank=32_replay_ratio=0.4,28,0.1794,0.2316,0.0522,0.1656,0.2142,0.0486,-0.0333,0.0005,32,0.4
