model,balanced_acc,tier_agree,coverage,equiv
mistralai/ministral-8b-2512,0.5070422535211268,1.0,1.82,0.113
mistralai/ministral-14b-2512,0.528169014084507,1.0,2.06,0.127
ibm-granite/granite-4.1-8b,0.5352112676056338,0.9803921568627451,1.86,0.113
mistralai/ministral-3b-2512,0.6086956521739131,0.88,1.79,0.085
qwen/qwen3.5-9b,0.7746478873239437,0.7843137254901961,2.13,0.155
deepseek/deepseek-v4-flash,0.7746478873239437,0.8431372549019608,2.2,0.141
anthropic/claude-sonnet-4.6,0.7816901408450705,0.9607843137254902,2.1,0.183
openai/gpt-5.5-pro,0.795774647887324,0.803921568627451,2.87,0.38
qwen/qwen3.5-35b-a3b,0.8309859154929577,0.8627450980392157,2.2,0.155
qwen/qwen3.5-122b-a10b,0.8380281690140845,0.8235294117647058,2.24,0.211
z-ai/glm-5.1,0.8450704225352113,0.8823529411764706,2.34,0.268
qwen/qwen3.7-max,0.8873239436619719,0.8823529411764706,2.2,0.183
qwen/qwen3.6-35b-a3b,0.8943661971830986,0.9803921568627451,2.32,0.155
qwen/qwen3.6-27b,0.9014084507042254,0.9019607843137255,2.31,0.155
anthropic/claude-opus-4.8,0.908450704225352,0.9411764705882353,2.13,0.169
